Medium,Values
"Cotton, wool, and rayon",1
"Video (black and white and color, sound; 10:03 min.) and digital player piano",1
Multiple of plastic anatomical model,1
Black and white print (hand-colored),1
"a: felt-tip pen and ink on transparentized paper
b: felt-tip pen and ink on transparentized paper
c: felt-tip pen on transparentized paper",1
Illustrated book with 1 engraving (Portrait of Paul Éluard; frontispiece),1
Pencil  and colored pencil on paper,1
Pigmented inkjet print (artist book),1
"Forex and paint
",1
Styrene,1
tile,1
"Drypoint and etching, printed in dark brown",1
"Silver-gelatin photograph, gouache, graphite, watercolor and color pencil",1
"Coated cardboard, glass, bakelite, and metal",1
"Graphite, color pencil, ink, and gouache on tracing paper",1
"Printed paper
",1
"Eight linoleum cuts, printed in black",1
Portfolio of 23 screenprints with letterpress,1
".a: Ink and cut-and-pasted printed paper on colored paper
.b: Gouache and cut-and-pasted printed paper on colored paper",1
Series of three intaglios,1
"Woodcut, printed in brown",1
"16 screenprint reproductions (executed by Arcay), printed in color",1
Encaustic and cut painted paper with pencil on paper,1
Pencil and crayon on calendar sheet,1
"Crepe with crepe appliqué, lined and embroidered",1
"Foam rubber, copper, plastic pipe, chicken wire, shingle, enamel, and graphite",1
Multiple of phosphorus between vinyl sheets and metal clamp,1
Watercolor and ink on paper on paper,1
Brush and ink on paper mounted on wood,1
"Artist's book. Offset lithograph, thirty-eight pages
16mm film (color, silent, 4:15 min.) and canister",1
"Synthetic polymer paint, oil, watercolor, felt-tip pen, colored pencil, and ballpoint pen on printed paper",1
Seven gelatin silver prints in boxed portfolio,1
Watercolor on paper on paper,1
Etching with pig blood additions,1
"Oil, metallic paint and charcoal on canvas, with neon fixture and rock",1
"49 lithographs (including publisher's device, and head-and tailpieces), and 22 lithographed initials, printed in color",1
Burlap and India ink on cardboard on composition board,1
Ink and colored pencil on synthetic polymer sheet,1
Pen and ink on gray paper.,1
"Photogravure, plasticine and oil",1
"Collage on gelatin silver print (photogravure, lithograph, chromolithograph and gelatin silver print)",1
"Photogravure from Camera Work, June 1917",1
"Albumen silver prints, ink, and newspaper clipping",1
Pencil and ballpoint pen on notebook paper,1
Photoetching and drypoint,1
Portfolio of 101 screenprints (including title page and colophon),1
Iron and plastic,1
"a: Pencil on paper
b: Cut-and-pasted paper with pencil, felt-tip pen, colored pencil, and ballpoint pen        on paper
c: Cut-and-pasted paper and cut-and-pasted graph paper with ballpoint pen, pencil,     felt-tip pen, and colored pencil on paper
d: Cut-and-pasted paper and cut-and-pasted printed paper with pencil, ballpoint           pen, and ink on paper
e: Cut-and-pasted paper with ballpoint pen and felt-tip pen on paper
f: Cut-and-pasted paper with ballpoint pen, colored pencil, pencil, and felt-tip pen         on paper
g: Pencil, ballpoint pen, and colored pencil on paper",1
"Wood, cardboard, metal, plastic, and twine",1
"Portfolio of five etching, aquatint, and drypoints with chine collé",1
"ABS plastic, rubber, and electronic components",1
Polypropylene and polyethelene,1
Cut-and-pasted printed paper on two pieces of paperboard,1
Artist's book of screenprint on laminated paperboard with metal hand-screw clamp,1
"Watercolor, carbon transfer, and pencil on paper",1
"Intaglio, printed blind with some white paint",1
Steam-blown glass,1
"Portfolio of fifty etching, aquatint, and drypoints
",1
"Five lithographs, printed in color and in black",1
"217 sheets total, in two parts",1
Siamese teak,1
"Pencil, paint, and collage on handmade paper",1
"Watercolor, pencil, colored pencil, and ink on joined paper",1
"Lithograph with gouache, pastel and glitter additions",1
Digital print mounted on board,1
Sterling silver and raffia,1
Cut-and-pasted printed paper with ballpoint pen on cardstock,1
"12 lithographs (3 with embossing, collagraph and/or varnish additions), 9 soft ground etchings (8 with aquatint, lift ground aquatint, and/or collagraph), 3 lift ground aquatints, 3 pochoirs, and 3 aquatints (1 with etching)",1
Embroidery on fabric,1
Oil and synthetic polymer paint on pressed wood with carved-and-stained pine frame,1
Ink and gouache on lithograph,1
Blue plastic housing and black bristles,1
"Photolithograph, printed over photograph and photoemulsion",1
Multiple of screenprint on silk,1
"Glass, moss, sand, plastic, paper and hemp",1
27 lithographs (including duplicate on front cover),1
"Collage of lithograph and tracing paper on acetate, with ink additions",1
3 wood engravings (cut by Stefan Martin and with calligraphy by David Soshensky): 2 printed in color and 1 printed in black,1
"Illustrated book with 6 etchings (2 with aquatint and 1 with drypoint)
",1
"Paper, cardboard, acrylic, polystyrene",1
"Woodcut, printed in red and black (red letters, black design)",1
"Wood, metal, synthetic fabric, lightbulbs, and motor",1
4 lithographs,1
"Dirt on paper in artist's frame, with basketball",1
Polished crayon on paper,1
Synthetic polmer paint on canvas,1
Artist's book of twelve photolithographs,1
Stainless steel and cork,1
Synthetic polymer paint with bronze powder and cloth appliqué on canvas,1
"Ballpoint pen and pencil on paper
",1
"21 photolithographic reproductions after paintings (including front cover); and supplementary suite of 4 lithographs (3 with aquatint and lift ground aquatint and 1 with etching), printed in color",1
Typewriting and ink on two sheets,1
Illustrated book with twenty-two pochoirs,1
Lost-core injection-molded carbon fibers and reinforced nylon with aluminum,1
Oil on canvas mounted on canvas,1
Tallow on wood,1
".a: Pencil on paper
.b: Pencil on paper",1
Ink and color chart on paper,1
"Illustrated Book with 4 drypoints (1 with aquatint), 1 etching, and 6 line block reproductions",1
"Portfolio of three drypoints, one with etching",1
Artist's book and lithograph,1
Portfolio of twelve linoleum cuts,1
Colored crayon on decorative paper surfaced cardboard,1
Enamel on metal,1
Illustrated book with six screenprints (four with embossing); 1 embossing with gold leaf; and 1 etching,1
Multiple of synthetic fur,1
Flashed and hand painted cut glass,1
"Illustrated Book with 12 etchings, 1 woodcut, and 2 brush and black ink drawings",1
Collage and ink on black paper,1
Pencil and colored pencil,1
Cut and stapled gelatin silver prints with ink and gouache on diazotype,1
Silver electroplated brass alloy and silver alloy,1
"Plastic, metal, and gold-plate",1
Glass and patinated bronze,1
Charocal on tracing paper,1
Unique composite of gelatin silver prints,1
"Sugarlift aquatint, printed in color",1
"Multiple of two crushed light bulbs mounted on corrugated cardstock, and artist's book",1
"Cut-and-pasted colored and printed papers, watercolor and pencil on paper",1
"Pls. 182, 183, 185: 3 wood engravings, printed in black. Pl. 184: Wood engraving, printed in color",1
Stainless steel and walnut,1
"6 drypoint and lift ground aquatints, printed in black, and 1 lithograph (cover), printed in color",1
Illustrated book with 56 line block reproductions,1
Paper shade and metal frame,1
"Egg tempera, gouache, pastel, charcoal, and graphite on paper",1
"Cut-and-pasted printed and painted paper, cellophane, and pencil on paper",1
"Crayon, watercolor, and stencilled crayon on paper and cellophane over cardboard",1
"Portfolio with three woodcuts, one lithograph with hand additions and forty-two line block reproductions",1
Periodical with reproduction on cover and one woodcut by Paul Gangolf,1
"Etching, lift ground aquatint, and engraving, printed in color",1
"10 etchings (4 with aquatint), printed in black",1
Upholstered latex foam on fiberglass-reinforced plastic shell and chrome-plated steel rod base,1
Plastic and metal parts,1
Aluminum alloy tubing and saran polythene fabric,1
Birch plywood,1
Bent laminated birch plywood and metal,1
"Silk, wool, and cotton",1
"Chromogenic color print, cut-and-pasted printed paper, cut-and-pasted paper, cut-and-pasted metallic paper, and synthetic polymer paint on paper",1
"Portfolio of seven drypoints (including justification page), six with etching and aquatint",1
"Woodcut table of contents from a portfolio of twelve woodcuts, one woodcut title page, one woodcut table of contents, one supplementary woodcut and one woodcut colophon
",1
Steel and wire,1
"Portfolio of nine screenprints with embossing, woodcut, linoleum cut, dye-cutting, flocking and glass bead additions",1
"Artist's book, letterpress and lithograph printed on imitation parchment, and loose photograph and braille inserts",1
"Lithograph from an illustrated book with two woodcuts, one lithograph and thirty-two full page reproductions",1
Photostat mounted to board,1
Illustrated book with six etchings and one line block reproduction,1
"Three wood boxes with incised plexiglass, containing oil on paper, fabric suit, metal hook, and metal clothes hanger",1
Wood engraving with embossing,1
"Chrome-plated tubular steel, sheet steel, and glass",1
7-inch record,1
Polyurethane and stainless steel,1
Cover with letterpress typographic design and two photographic illustrations on front,1
Lift-ground aquatint and etching,1
Book with letterpress cover and two illustrations by Rodchenko,1
Graphite on cut-and-pasted paper,1
Stained molded plywood,1
Postage stamps,1
Oil on canvas and wood with objects,1
"Crayon, felt-tip pen, and ballpoint pen on paper",1
"Illustrated book with one etching, aquatint, and engraving (Head of a Woman - Françoise; plate, folio 6)",1
Illustrated book with photolithographic reproductions and one stencil (unbound plate),1
"Soft ground etching and aquatint Not in by Marcel Fiorini after Villon drawing), printed in color",1
".a) recto: Synthetic polymer paint, colored pencil, and ink on paper  .b)  verso: Synthetic polymer paint on printed paper",1
Ink and pencil on hotel stationery in artist's frame,1
Book with eight carbon-copied illustrations,1
Screenprint on 100 styrene boxes,1
Epoxy resin,1
"Drypoint, etching and aquatint, printed in black",1
"Series of six photolithographs, offset printed from a portfolio of nineteen printed objects (including box cover)",1
"Ballpoint pen on five pieces of paper
",1
Three screenprints with rubber stamp,1
"Drypoint on zinc, printed in brown-black",1
Thirteen gelatin silver prints in boxed portfolio,1
"1 woodcut, printed in black",1
"Graphite and cut-and-pasted reproduction (of a detail from Georges Braque, ""Fruit Dish, Sheet Music, and Pitcher,"" 1926) on illustration board",1
